candidate_id,skill_name,assessment_score
CAND_0000252,Speech Recognition,70.6
CAND_0000262,Computer Vision,34.8
CAND_0000264,Forecasting,70.7
CAND_0000265,Data Science,23.9
CAND_0000268,Computer Vision,64.9
CAND_0000273,TTS,70.2
CAND_0000273,Forecasting,80.9
CAND_0000273,Weights & Biases,56.6
CAND_0000273,Object Detection,43.6
CAND_0000273,Time Series,69.5
CAND_0000274,Vector Search,50.6
CAND_0000280,Weaviate,60.3
CAND_0000280,MLflow,74.4
CAND_0000283,Object Detection,41.1
CAND_0000292,Reinforcement Learning,57.6
CAND_0000292,Statistical Modeling,56.8
CAND_0000292,RAG,68.4
CAND_0000292,Python,68.1
CAND_0000292,Kubeflow,43.4
CAND_0000302,Image Classification,53.5
CAND_0000312,YOLO,44.8
CAND_0000313,OpenSearch,71.7
CAND_0000315,OpenCV,34.8
CAND_0000331,BentoML,42.4
CAND_0000332,Time Series,64.3
CAND_0000337,Forecasting,49.8
CAND_0000345,ASR,67.7
CAND_0000345,Qdrant,47.5
CAND_0000345,BentoML,81.6
CAND_0000345,BM25,50.0
CAND_0000351,Image Classification,43.5
CAND_0000352,Forecasting,73.5
CAND_0000354,scikit-learn,68.9
CAND_0000354,Forecasting,64.2
CAND_0000354,BM25,59.0
CAND_0000354,LoRA,61.3
CAND_0000360,Qdrant,28.5
CAND_0000368,Data Science,47.8
CAND_0000370,Data Science,58.9
CAND_0000370,Feature Engineering,71.0
CAND_0000373,Diffusion Models,36.9
CAND_0000378,GANs,40.6
CAND_0000393,CNN,46.6
CAND_0000393,TTS,27.4
CAND_0000394,Diffusion Models,37.4
CAND_0000394,Object Detection,53.0
CAND_0000394,CNN,68.4
CAND_0000397,Prompt Engineering,47.5
CAND_0000401,CNN,58.8
CAND_0000406,LLMs,56.2
CAND_0000406,YOLO,68.0
CAND_0000408,Semantic Search,32.0
CAND_0000408,Forecasting,26.3
CAND_0000408,CNN,56.5
CAND_0000411,Weights & Biases,65.3
CAND_0000411,MLOps,40.1
CAND_0000411,pgvector,43.2
CAND_0000417,Weights & Biases,63.9
CAND_0000422,Python,76.9
CAND_0000426,FAISS,74.0
CAND_0000426,Data Science,30.2
CAND_0000429,Embeddings,41.5
CAND_0000432,CNN,33.8
CAND_0000442,YOLO,51.8
CAND_0000442,Diffusion Models,59.8
CAND_0000443,Feature Engineering,43.3
CAND_0000444,Reinforcement Learning,51.6
CAND_0000452,Milvus,75.7
CAND_0000452,MLflow,66.2
CAND_0000452,LlamaIndex,76.6
CAND_0000452,TTS,67.9
CAND_0000457,OpenCV,52.3
CAND_0000463,Statistical Modeling,27.8
CAND_0000469,PyTorch,64.5
CAND_0000472,FAISS,43.2
CAND_0000477,BentoML,61.3
CAND_0000485,MLOps,24.8
CAND_0000486,BentoML,57.8
CAND_0000487,Data Science,30.0
CAND_0000487,Object Detection,34.1
CAND_0000489,Semantic Search,70.9
CAND_0000489,LangChain,42.1
CAND_0000494,Semantic Search,56.3
CAND_0000500,Reinforcement Learning,63.3
CAND_0000501,Statistical Modeling,62.0
CAND_0000501,BentoML,67.2
CAND_0000510,MLflow,72.6
CAND_0000512,Statistical Modeling,44.6
CAND_0000514,OpenCV,66.3
CAND_0000516,ASR,42.7
CAND_0000517,PEFT,57.3
CAND_0000519,Statistical Modeling,30.6
CAND_0000525,YOLO,69.7
CAND_0000526,Pinecone,25.4
CAND_0000526,OpenSearch,76.2
CAND_0000529,MLflow,65.6
CAND_0000530,MLOps,33.1
CAND_0000536,Learning to Rank,67.4
CAND_0000539,LoRA,69.6
CAND_0000540,Information Retrieval,56.9
CAND_0000542,CNN,61.2
CAND_0000543,Forecasting,23.4
CAND_0000547,Deep Learning,74.3
CAND_0000559,Statistical Modeling,27.8
CAND_0000560,Computer Vision,68.9
CAND_0000563,CNN,32.9
CAND_0000565,Image Classification,46.0
CAND_0000571,GANs,39.3
CAND_0000577,scikit-learn,31.8
CAND_0000577,MLflow,72.0
CAND_0000578,Speech Recognition,36.2
CAND_0000578,Fine-tuning LLMs,42.1
CAND_0000580,Diffusion Models,39.0
CAND_0000584,BM25,44.8
CAND_0000587,ASR,64.8
CAND_0000592,TensorFlow,36.9
CAND_0000593,Feature Engineering,26.3
CAND_0000600,MLOps,32.4
CAND_0000604,ASR,72.5
CAND_0000605,Computer Vision,40.3
CAND_0000606,Image Classification,32.8
CAND_0000612,Kubeflow,74.6
CAND_0000613,Diffusion Models,68.9
CAND_0000618,Milvus,36.9
CAND_0000618,Hugging Face Transformers,77.5
CAND_0000620,Object Detection,77.2
CAND_0000623,Vector Search,75.5
CAND_0000628,MLflow,69.1
CAND_0000631,OpenCV,71.4
CAND_0000644,CNN,21.6
CAND_0000649,Elasticsearch,37.0
CAND_0000649,Milvus,72.8
CAND_0000649,Pinecone,78.1
CAND_0000651,Object Detection,61.7
CAND_0000654,FAISS,34.4
CAND_0000656,Diffusion Models,61.2
CAND_0000657,MLOps,48.2
CAND_0000665,NLP,65.9
CAND_0000672,Object Detection,47.4
CAND_0000674,Image Classification,21.8
CAND_0000682,MLOps,72.8
CAND_0000682,Object Detection,43.3
CAND_0000684,Reinforcement Learning,62.2
CAND_0000688,LoRA,34.8
CAND_0000700,Feature Engineering,58.1
CAND_0000702,Speech Recognition,39.6
CAND_0000704,Data Science,79.2
CAND_0000704,Speech Recognition,37.5
CAND_0000704,Computer Vision,45.2
CAND_0000704,CNN,50.2
CAND_0000705,Elasticsearch,51.4
CAND_0000705,OpenCV,62.8
CAND_0000705,RAG,84.7
CAND_0000712,MLOps,48.9
CAND_0000712,Haystack,81.7
CAND_0000712,BM25,72.3
CAND_0000714,Weights & Biases,32.8
CAND_0000715,Fine-tuning LLMs,31.0
CAND_0000741,TTS,58.4
CAND_0000741,Object Detection,57.1
CAND_0000742,Feature Engineering,62.4
CAND_0000742,LLMs,48.6
CAND_0000744,YOLO,52.6
CAND_0000745,Pinecone,72.3
CAND_0000753,GANs,38.8
CAND_0000759,Data Science,38.1
CAND_0000760,Milvus,55.2
CAND_0000764,Elasticsearch,51.8
CAND_0000764,CNN,38.9
CAND_0000771,Machine Learning,45.5
CAND_0000771,Reinforcement Learning,45.7
CAND_0000775,TTS,44.4
CAND_0000775,Statistical Modeling,74.2
CAND_0000775,MLflow,48.6
CAND_0000786,Kubeflow,29.7
CAND_0000787,Statistical Modeling,29.7
CAND_0000788,Object Detection,30.2
CAND_0000797,Time Series,48.8
CAND_0000797,Deep Learning,45.3
CAND_0000797,Weights & Biases,77.6
CAND_0000799,Milvus,25.5
CAND_0000805,Learning to Rank,75.3
CAND_0000805,Feature Engineering,43.2
CAND_0000811,Computer Vision,58.5
CAND_0000826,BentoML,49.9
CAND_0000830,BentoML,20.9
CAND_0000831,OpenCV,49.3
CAND_0000833,TTS,63.7
CAND_0000834,Feature Engineering,56.7
CAND_0000834,Forecasting,49.1
CAND_0000837,Object Detection,57.6
CAND_0000849,Reinforcement Learning,38.9
CAND_0000849,PyTorch,30.5
CAND_0000852,Weights & Biases,49.9
CAND_0000853,Diffusion Models,62.7
CAND_0000854,Diffusion Models,35.6
CAND_0000854,Recommendation Systems,50.8
CAND_0000858,BentoML,58.3
CAND_0000858,Data Science,72.3
CAND_0000867,Reinforcement Learning,53.4
CAND_0000869,LlamaIndex,55.6
CAND_0000869,MLOps,46.2
CAND_0000870,CNN,67.3
CAND_0000870,Vector Search,39.3
CAND_0000873,TTS,57.0
CAND_0000874,Embeddings,70.3
CAND_0000874,BentoML,65.5
CAND_0000874,Kubeflow,59.6
CAND_0000874,Forecasting,73.7
CAND_0000877,YOLO,59.1
CAND_0000878,Kubeflow,47.4
CAND_0000878,Feature Engineering,51.6
CAND_0000878,OpenCV,79.2
CAND_0000884,Forecasting,64.3
CAND_0000887,CNN,70.5
CAND_0000895,Qdrant,42.1
CAND_0000895,ASR,69.3
CAND_0000896,Image Classification,44.1
CAND_0000897,MLflow,70.7
CAND_0000899,Diffusion Models,54.6
CAND_0000899,GANs,25.9
CAND_0000899,CNN,25.9
CAND_0000900,LoRA,71.7
CAND_0000903,LlamaIndex,42.0
CAND_0000903,BM25,55.6
CAND_0000904,CNN,33.9
CAND_0000909,TTS,69.8
CAND_0000926,MLOps,25.2
CAND_0000928,PEFT,68.2
CAND_0000930,Hugging Face Transformers,65.7
CAND_0000936,PEFT,45.1
CAND_0000936,Pinecone,30.1
CAND_0000937,Pinecone,53.5
CAND_0000937,MLflow,63.6
CAND_0000938,Computer Vision,76.2
CAND_0000941,Diffusion Models,37.0
CAND_0000943,QLoRA,75.2
CAND_0000944,LangChain,40.1
CAND_0000947,Statistical Modeling,72.4
CAND_0000947,Weaviate,74.1
CAND_0000947,Reinforcement Learning,40.2
CAND_0000948,Image Classification,57.8
CAND_0000955,YOLO,54.2
CAND_0000956,Feature Engineering,40.9
CAND_0000962,Image Classification,69.6
CAND_0000963,Object Detection,40.7
CAND_0000964,Kubeflow,71.1
CAND_0000970,Time Series,39.7
CAND_0000973,RAG,45.6
CAND_0000973,Recommendation Systems,42.2
CAND_0000973,Weights & Biases,81.7
CAND_0000973,Forecasting,52.8
CAND_0000973,TTS,80.5
CAND_0000975,YOLO,33.6
CAND_0000975,Data Science,74.9
CAND_0000975,Diffusion Models,49.1
CAND_0000977,Forecasting,71.5
CAND_0000977,Image Classification,71.6
CAND_0000978,FAISS,35.4
CAND_0000980,Vector Search,72.2
CAND_0000985,Forecasting,71.3
CAND_0000985,YOLO,37.4
CAND_0000986,TTS,26.5
CAND_0000990,Milvus,30.1
CAND_0000995,TTS,46.6
CAND_0001001,Image Classification,79.2
CAND_0001002,Time Series,70.9
CAND_0001004,Kubeflow,44.0
CAND_0001006,OpenCV,48.1
CAND_0001010,TTS,28.7
CAND_0001010,ASR,55.5
CAND_0001010,Kubeflow,37.0
CAND_0001011,Information Retrieval,49.0
CAND_0001012,MLOps,68.6
CAND_0001017,Computer Vision,40.6
CAND_0001018,LoRA,49.7
CAND_0001018,FAISS,72.3
CAND_0001021,ASR,69.2
CAND_0001022,Weights & Biases,40.6
CAND_0001023,Image Classification,31.4
CAND_0001023,Computer Vision,77.3
CAND_0001036,Diffusion Models,37.9
CAND_0001037,Speech Recognition,67.3
CAND_0001046,Sentence Transformers,65.2
CAND_0001047,RAG,68.3
CAND_0001049,Object Detection,22.2
CAND_0001051,Statistical Modeling,69.5
CAND_0001051,Feature Engineering,33.1
CAND_0001056,Statistical Modeling,61.0
CAND_0001056,GANs,76.4
CAND_0001056,Embeddings,83.8
CAND_0001056,Speech Recognition,84.2
CAND_0001060,BentoML,54.0
CAND_0001060,Forecasting,72.9
CAND_0001060,Elasticsearch,43.5
CAND_0001060,PyTorch,49.0
CAND_0001061,BentoML,58.4
CAND_0001063,Reinforcement Learning,66.9
CAND_0001065,YOLO,60.8
CAND_0001066,PEFT,72.3
CAND_0001066,Prompt Engineering,38.0
CAND_0001068,MLOps,66.9
CAND_0001076,Data Science,35.7
CAND_0001081,GANs,64.9
CAND_0001081,ASR,61.7
CAND_0001082,CNN,77.8
CAND_0001082,Diffusion Models,40.8
CAND_0001082,GANs,41.5
CAND_0001085,Elasticsearch,75.4
CAND_0001085,Information Retrieval,45.4
CAND_0001086,Learning to Rank,82.0
CAND_0001086,Qdrant,52.4
CAND_0001086,YOLO,43.8
CAND_0001086,Feature Engineering,81.2
CAND_0001087,MLOps,32.4
CAND_0001089,Machine Learning,43.9
CAND_0001089,Time Series,62.2
CAND_0001090,Forecasting,36.3
CAND_0001100,LlamaIndex,56.0
CAND_0001100,Object Detection,66.5
CAND_0001100,MLOps,52.8
CAND_0001103,YOLO,42.7
CAND_0001105,scikit-learn,55.6
CAND_0001106,Weights & Biases,20.6
CAND_0001108,Time Series,34.0
CAND_0001108,Object Detection,52.2
CAND_0001112,MLOps,48.2
CAND_0001116,GANs,73.3
CAND_0001116,Embeddings,49.7
CAND_0001116,scikit-learn,60.6
CAND_0001116,Time Series,71.3
CAND_0001118,TTS,61.5
CAND_0001118,Time Series,52.2
CAND_0001119,OpenSearch,72.7
CAND_0001119,Reinforcement Learning,37.1
CAND_0001120,Image Classification,34.5
CAND_0001121,Pinecone,44.4
CAND_0001124,YOLO,52.8
CAND_0001126,MLOps,62.0
CAND_0001126,Feature Engineering,50.9
CAND_0001126,NLP,53.1
CAND_0001131,Speech Recognition,81.3
CAND_0001132,FAISS,34.3
CAND_0001133,MLOps,37.1
CAND_0001133,MLflow,80.6
CAND_0001135,Elasticsearch,53.4
CAND_0001135,YOLO,71.8
CAND_0001140,Forecasting,43.2
CAND_0001142,LoRA,44.2
CAND_0001145,OpenCV,29.5
CAND_0001145,Machine Learning,67.2
CAND_0001145,Weights & Biases,49.7
CAND_0001149,CNN,53.2
CAND_0001150,TTS,42.7
CAND_0001150,Diffusion Models,38.3
CAND_0001151,Statistical Modeling,84.2
CAND_0001151,CNN,87.5
CAND_0001152,ASR,21.9
CAND_0001155,Image Classification,36.2
CAND_0001158,QLoRA,76.2
CAND_0001158,Time Series,65.7
CAND_0001168,Learning to Rank,43.1
CAND_0001169,Reinforcement Learning,44.8
CAND_0001173,CNN,53.2
CAND_0001178,YOLO,31.4
CAND_0001186,Object Detection,26.8
CAND_0001189,Time Series,75.5
CAND_0001192,Speech Recognition,61.5
CAND_0001194,Computer Vision,73.2
CAND_0001194,OpenCV,38.8
CAND_0001194,LoRA,76.3
CAND_0001198,OpenCV,47.3
CAND_0001198,Object Detection,48.8
CAND_0001199,Diffusion Models,48.0
CAND_0001205,MLOps,52.2
CAND_0001205,Image Classification,45.7
CAND_0001210,Feature Engineering,56.9
CAND_0001212,Forecasting,52.1
CAND_0001212,Data Science,57.4
CAND_0001212,BentoML,64.4
CAND_0001212,Image Classification,48.2
CAND_0001212,Reinforcement Learning,63.0
CAND_0001215,Image Classification,68.9
CAND_0001224,Sentence Transformers,73.7
CAND_0001224,FAISS,66.0
CAND_0001224,MLflow,61.5
CAND_0001227,PEFT,44.1
CAND_0001227,Computer Vision,57.2
CAND_0001231,CNN,26.0
CAND_0001232,YOLO,45.7
CAND_0001237,OpenSearch,27.6
CAND_0001239,Image Classification,67.2
CAND_0001241,pgvector,50.4
CAND_0001241,Speech Recognition,54.2
CAND_0001251,TTS,70.8
CAND_0001252,Weaviate,31.7
CAND_0001253,Time Series,20.0
CAND_0001257,Feature Engineering,37.0
CAND_0001257,BentoML,41.7
CAND_0001262,Information Retrieval,60.6
CAND_0001262,Data Science,47.2
CAND_0001263,Feature Engineering,47.1
CAND_0001264,LoRA,56.4
CAND_0001267,OpenCV,68.2
CAND_0001267,Computer Vision,74.0
CAND_0001267,Deep Learning,79.5
CAND_0001268,Diffusion Models,42.4
CAND_0001273,Forecasting,68.9
CAND_0001277,Object Detection,72.3
CAND_0001296,Data Science,21.0
CAND_0001297,BentoML,27.2
CAND_0001299,Forecasting,34.5
CAND_0001300,Forecasting,30.3
CAND_0001301,MLOps,48.4
CAND_0001302,Time Series,54.7
CAND_0001302,Diffusion Models,43.6
CAND_0001307,Computer Vision,47.5
CAND_0001313,Semantic Search,69.0
CAND_0001313,PyTorch,32.6
CAND_0001313,BentoML,42.3
CAND_0001314,CNN,45.7
CAND_0001314,Image Classification,42.4
CAND_0001315,Reinforcement Learning,50.8
CAND_0001327,Time Series,76.0
CAND_0001330,OpenCV,26.1
CAND_0001330,LangChain,74.3
CAND_0001334,Qdrant,58.8
CAND_0001334,Time Series,53.9
CAND_0001343,Statistical Modeling,51.3
CAND_0001346,Diffusion Models,28.1
CAND_0001350,Milvus,63.3
CAND_0001355,Computer Vision,48.4
CAND_0001369,TTS,23.4
CAND_0001371,Data Science,39.3
CAND_0001378,ASR,42.3
CAND_0001378,Image Classification,36.4
CAND_0001378,YOLO,80.2
CAND_0001383,MLOps,52.0
CAND_0001386,Embeddings,38.0
CAND_0001388,Python,45.4
CAND_0001388,Sentence Transformers,68.2
CAND_0001389,ASR,85.0
CAND_0001394,Weights & Biases,42.7
CAND_0001394,Python,46.9
CAND_0001394,Prompt Engineering,58.4
CAND_0001398,BentoML,67.0
CAND_0001407,OpenSearch,49.5
CAND_0001408,CNN,39.2
CAND_0001423,Machine Learning,77.1
CAND_0001423,Time Series,38.0
CAND_0001423,YOLO,56.2
CAND_0001427,YOLO,67.8
CAND_0001429,MLOps,42.3
CAND_0001434,MLflow,55.3
CAND_0001434,CNN,54.5
CAND_0001441,Speech Recognition,72.8
CAND_0001441,Weights & Biases,58.8
CAND_0001441,Pinecone,69.7
CAND_0001441,TTS,35.2
CAND_0001441,OpenCV,59.4
CAND_0001446,Image Classification,50.2
CAND_0001447,CNN,67.3
CAND_0001450,Speech Recognition,43.4
CAND_0001452,Statistical Modeling,42.4
CAND_0001458,Qdrant,33.5
CAND_0001462,Pinecone,50.4
CAND_0001469,TensorFlow,39.7
CAND_0001475,PEFT,58.0
CAND_0001475,Recommendation Systems,43.7
CAND_0001475,Qdrant,48.2
CAND_0001477,MLflow,77.0
CAND_0001483,MLflow,56.5
CAND_0001483,LlamaIndex,56.3
CAND_0001487,YOLO,31.9
CAND_0001493,Forecasting,46.1
CAND_0001493,Weaviate,39.9
CAND_0001493,Reinforcement Learning,43.1
CAND_0001493,MLflow,44.6
CAND_0001493,Image Classification,71.1
CAND_0001494,MLflow,41.7
CAND_0001494,Vector Search,62.2
CAND_0001498,LangChain,52.0
CAND_0001498,Computer Vision,41.0
CAND_0001507,OpenCV,68.9
CAND_0001516,Object Detection,52.6
CAND_0001519,Data Science,66.2
CAND_0001522,Weights & Biases,72.8
CAND_0001522,YOLO,48.5
CAND_0001523,GANs,33.8
CAND_0001524,Forecasting,65.6
CAND_0001530,TTS,65.8
CAND_0001530,Prompt Engineering,53.6
CAND_0001530,Forecasting,73.9
CAND_0001530,Vector Search,51.2
CAND_0001536,Time Series,62.8
CAND_0001540,BentoML,76.4
CAND_0001540,YOLO,58.8
CAND_0001546,Information Retrieval,36.6
CAND_0001547,LLMs,77.8
CAND_0001547,YOLO,56.7
CAND_0001547,Information Retrieval,71.7
CAND_0001547,Machine Learning,64.3
CAND_0001548,MLflow,29.7
CAND_0001556,Recommendation Systems,56.3
CAND_0001557,GANs,53.8
CAND_0001557,Sentence Transformers,72.5
CAND_0001557,TTS,59.9
CAND_0001557,Diffusion Models,53.8
CAND_0001558,YOLO,32.5
CAND_0001563,Weights & Biases,37.4
CAND_0001565,Data Science,35.6
CAND_0001566,Weights & Biases,37.1
CAND_0001569,Pinecone,76.5
CAND_0001572,MLflow,54.8
CAND_0001575,BentoML,64.3
CAND_0001575,YOLO,62.0
CAND_0001575,ASR,71.5
CAND_0001575,Fine-tuning LLMs,38.4
CAND_0001575,Feature Engineering,63.5
CAND_0001576,Reinforcement Learning,71.4
CAND_0001578,YOLO,34.5
CAND_0001582,Data Science,35.3
CAND_0001583,BentoML,61.5
CAND_0001585,TTS,38.7
CAND_0001585,TensorFlow,37.4
CAND_0001585,Reinforcement Learning,39.2
CAND_0001586,Milvus,37.7
CAND_0001586,Forecasting,71.2
CAND_0001586,Reinforcement Learning,55.1
CAND_0001586,Recommendation Systems,67.3
CAND_0001591,MLOps,55.5
CAND_0001594,Weights & Biases,50.2
CAND_0001600,Object Detection,82.6
CAND_0001600,Kubeflow,72.8
CAND_0001600,LlamaIndex,82.4
CAND_0001601,Feature Engineering,59.0
CAND_0001601,Pinecone,54.1
CAND_0001608,Haystack,58.4
CAND_0001608,Image Classification,81.0
CAND_0001608,Kubeflow,78.2
CAND_0001613,TTS,41.0
CAND_0001623,Learning to Rank,51.2
CAND_0001623,Statistical Modeling,58.7
CAND_0001626,Qdrant,36.4
CAND_0001626,Computer Vision,73.4
CAND_0001626,PyTorch,38.8
CAND_0001637,Elasticsearch,75.2
CAND_0001640,ASR,46.9
CAND_0001642,Speech Recognition,48.9
CAND_0001647,ASR,26.8
CAND_0001651,Weaviate,50.5
CAND_0001651,Recommendation Systems,77.9
CAND_0001651,Object Detection,87.6
CAND_0001652,Feature Engineering,21.7
CAND_0001655,Weights & Biases,40.5
CAND_0001657,CNN,66.0
CAND_0001661,Vector Search,38.2
CAND_0001661,Data Science,59.1
CAND_0001669,YOLO,29.2
CAND_0001690,Reinforcement Learning,37.8
CAND_0001695,Computer Vision,45.1
CAND_0001698,Weights & Biases,24.8
CAND_0001699,OpenSearch,64.5
CAND_0001707,Sentence Transformers,62.2
CAND_0001707,Image Classification,62.4
CAND_0001707,BentoML,67.3
CAND_0001707,Time Series,40.8
CAND_0001708,Speech Recognition,64.4
CAND_0001708,Learning to Rank,57.2
CAND_0001712,Time Series,63.2
CAND_0001712,ASR,35.0
CAND_0001713,MLOps,81.9
CAND_0001713,BentoML,58.6
CAND_0001720,Statistical Modeling,58.2
CAND_0001724,Object Detection,54.7
CAND_0001724,MLOps,28.0
CAND_0001724,LoRA,41.4
CAND_0001725,Diffusion Models,70.4
CAND_0001725,TTS,38.6
CAND_0001728,GANs,52.9
CAND_0001729,Time Series,41.3
CAND_0001729,LLMs,60.2
CAND_0001729,PyTorch,76.5
CAND_0001734,Weights & Biases,76.2
CAND_0001734,Weaviate,66.7
CAND_0001734,Learning to Rank,49.5
CAND_0001736,Feature Engineering,36.4
CAND_0001737,Feature Engineering,44.2
CAND_0001738,MLflow,22.1
CAND_0001739,TTS,29.1
CAND_0001744,Data Science,49.1
CAND_0001750,Weaviate,40.3
CAND_0001750,Object Detection,76.6
CAND_0001751,BentoML,69.8
CAND_0001753,ASR,57.0
CAND_0001758,ASR,64.6
CAND_0001758,Pinecone,69.1
CAND_0001761,QLoRA,25.1
CAND_0001762,Deep Learning,43.8
CAND_0001766,BentoML,32.4
CAND_0001766,OpenSearch,72.8
CAND_0001768,TTS,44.7
CAND_0001771,Statistical Modeling,42.7
CAND_0001772,Data Science,51.6
CAND_0001778,Sentence Transformers,27.5
CAND_0001778,Image Classification,74.4
CAND_0001781,Speech Recognition,71.8
CAND_0001781,Embeddings,55.1
CAND_0001781,Computer Vision,70.4
CAND_0001785,scikit-learn,41.9
CAND_0001790,Diffusion Models,23.2
CAND_0001791,OpenCV,38.3
CAND_0001793,Weights & Biases,51.9
CAND_0001793,Deep Learning,30.4
CAND_0001796,MLflow,21.9
CAND_0001804,Learning to Rank,75.6
CAND_0001805,Weights & Biases,42.0
CAND_0001808,OpenCV,80.3
CAND_0001812,BentoML,30.4
CAND_0001815,Object Detection,63.8
CAND_0001819,Weaviate,72.9
CAND_0001819,Speech Recognition,67.1
CAND_0001819,Statistical Modeling,45.8
CAND_0001819,pgvector,43.3
CAND_0001819,Feature Engineering,64.3
CAND_0001822,Statistical Modeling,20.1
CAND_0001827,OpenCV,68.8
CAND_0001846,MLflow,31.4
CAND_0001846,Speech Recognition,71.1
CAND_0001846,RAG,66.5
CAND_0001846,BentoML,41.9
CAND_0001847,Hugging Face Transformers,69.5
CAND_0001850,Machine Learning,26.2
CAND_0001850,QLoRA,25.4
CAND_0001859,Statistical Modeling,56.1
CAND_0001863,Data Science,42.3
CAND_0001863,TTS,51.3
CAND_0001863,LlamaIndex,53.5
CAND_0001865,Object Detection,56.0
CAND_0001872,Forecasting,63.4
CAND_0001876,Image Classification,66.8
CAND_0001882,Reinforcement Learning,64.5
CAND_0001888,Forecasting,50.7
CAND_0001889,LlamaIndex,51.6
CAND_0001890,MLflow,44.8
CAND_0001898,TTS,65.1
CAND_0001901,Hugging Face Transformers,50.8
CAND_0001901,BentoML,61.0
CAND_0001902,YOLO,34.9
CAND_0001912,Computer Vision,68.7
CAND_0001912,Feature Engineering,60.2
CAND_0001912,Statistical Modeling,43.4
CAND_0001912,Python,44.3
CAND_0001913,Speech Recognition,25.4
CAND_0001918,OpenCV,42.8
CAND_0001928,Prompt Engineering,38.6
CAND_0001930,Statistical Modeling,67.8
CAND_0001930,BentoML,42.4
CAND_0001930,Milvus,81.9
CAND_0001930,CNN,56.6
CAND_0001935,Data Science,23.1
CAND_0001940,Elasticsearch,77.6
CAND_0001940,Feature Engineering,61.6
CAND_0001940,Recommendation Systems,85.4
CAND_0001940,TensorFlow,59.5
CAND_0001940,Computer Vision,72.0
CAND_0001941,LLMs,39.8
CAND_0001941,ASR,57.3
CAND_0001943,Object Detection,32.1
CAND_0001943,OpenCV,74.4
CAND_0001949,Pinecone,37.5
