candidate_id,cert_order,name,issuer,year
CAND_0000097,2,Six Sigma Green Belt,ASQ,2019
CAND_0000099,1,AWS Certified Cloud Practitioner,AWS,2025
CAND_0000100,1,Six Sigma Green Belt,ASQ,2021
CAND_0000106,1,Scrum Master Certified,Scrum Alliance,2024
CAND_0000109,1,Scrum Master Certified,Scrum Alliance,2022
CAND_0000109,2,AWS Certified Cloud Practitioner,AWS,2020
CAND_0000114,1,Scrum Master Certified,Scrum Alliance,2023
CAND_0000114,2,Six Sigma Green Belt,ASQ,2020
CAND_0000121,1,AWS Certified Cloud Practitioner,AWS,2024
CAND_0000124,1,Six Sigma Green Belt,ASQ,2020
CAND_0000124,2,Scrum Master Certified,Scrum Alliance,2024
CAND_0000125,1,Six Sigma Green Belt,ASQ,2018
CAND_0000132,1,Six Sigma Green Belt,ASQ,2019
CAND_0000132,2,Scrum Master Certified,Scrum Alliance,2018
CAND_0000133,1,AWS Certified Cloud Practitioner,AWS,2020
CAND_0000139,1,Scrum Master Certified,Scrum Alliance,2025
CAND_0000139,2,Six Sigma Green Belt,ASQ,2020
CAND_0000141,1,AWS Certified Cloud Practitioner,AWS,2025
CAND_0000142,1,Six Sigma Green Belt,ASQ,2018
CAND_0000142,2,AWS Certified Cloud Practitioner,AWS,2018
CAND_0000152,1,Six Sigma Green Belt,ASQ,2020
CAND_0000156,1,AWS Certified Cloud Practitioner,AWS,2019
CAND_0000156,2,Six Sigma Green Belt,ASQ,2020
CAND_0000157,1,Scrum Master Certified,Scrum Alliance,2025
CAND_0000157,2,AWS Certified Cloud Practitioner,AWS,2022
CAND_0000163,1,Scrum Master Certified,Scrum Alliance,2019
CAND_0000164,1,Six Sigma Green Belt,ASQ,2018
CAND_0000165,1,Deep Learning Specialization,Coursera/DeepLearning.AI,2021
CAND_0000165,2,NLP Specialization,Coursera/DeepLearning.AI,2019
CAND_0000166,1,Scrum Master Certified,Scrum Alliance,2019
CAND_0000169,1,Six Sigma Green Belt,ASQ,2024
CAND_0000169,2,AWS Certified Cloud Practitioner,AWS,2020
CAND_0000173,1,Scrum Master Certified,Scrum Alliance,2022
CAND_0000173,2,AWS Certified Cloud Practitioner,AWS,2021
CAND_0000177,1,Scrum Master Certified,Scrum Alliance,2019
CAND_0000181,1,Scrum Master Certified,Scrum Alliance,2025
CAND_0000181,2,Six Sigma Green Belt,ASQ,2025
CAND_0000182,1,Six Sigma Green Belt,ASQ,2025
CAND_0000189,1,Six Sigma Green Belt,ASQ,2020
CAND_0000191,1,Six Sigma Green Belt,ASQ,2024
CAND_0000191,2,Scrum Master Certified,Scrum Alliance,2022
CAND_0000192,1,AWS Certified Cloud Practitioner,AWS,2019
CAND_0000200,1,Google Cloud Professional ML Engineer,Google Cloud,2021
CAND_0000200,2,NLP Specialization,Coursera/DeepLearning.AI,2023
CAND_0000202,1,Six Sigma Green Belt,ASQ,2024
CAND_0000203,1,Six Sigma Green Belt,ASQ,2019
CAND_0000203,2,AWS Certified Cloud Practitioner,AWS,2018
CAND_0000206,1,Six Sigma Green Belt,ASQ,2023
CAND_0000216,1,Six Sigma Green Belt,ASQ,2018
CAND_0000216,2,AWS Certified Cloud Practitioner,AWS,2025
CAND_0000217,1,Scrum Master Certified,Scrum Alliance,2019
CAND_0000217,2,Six Sigma Green Belt,ASQ,2019
CAND_0000227,1,Scrum Master Certified,Scrum Alliance,2024
CAND_0000230,1,AWS Certified Cloud Practitioner,AWS,2022
CAND_0000230,2,Six Sigma Green Belt,ASQ,2020
CAND_0000231,1,Scrum Master Certified,Scrum Alliance,2021
CAND_0000231,2,AWS Certified Cloud Practitioner,AWS,2022
CAND_0000234,1,Six Sigma Green Belt,ASQ,2020
CAND_0000234,2,AWS Certified Cloud Practitioner,AWS,2021
CAND_0000236,1,Scrum Master Certified,Scrum Alliance,2021
CAND_0000236,2,Six Sigma Green Belt,ASQ,2019
CAND_0000237,1,AWS Certified Cloud Practitioner,AWS,2020
CAND_0000242,1,AWS Certified Cloud Practitioner,AWS,2022
CAND_0000242,2,Six Sigma Green Belt,ASQ,2020
CAND_0000257,1,Scrum Master Certified,Scrum Alliance,2018
CAND_0000262,1,AWS Certified Cloud Practitioner,AWS,2018
CAND_0000262,2,Six Sigma Green Belt,ASQ,2019
CAND_0000265,1,AWS Certified Cloud Practitioner,AWS,2024
CAND_0000266,1,AWS Certified Cloud Practitioner,AWS,2024
CAND_0000269,1,Scrum Master Certified,Scrum Alliance,2018
CAND_0000274,1,AWS Certified Cloud Practitioner,AWS,2021
CAND_0000276,1,Six Sigma Green Belt,ASQ,2021
CAND_0000278,1,Six Sigma Green Belt,ASQ,2020
CAND_0000291,1,Six Sigma Green Belt,ASQ,2025
CAND_0000291,2,AWS Certified Cloud Practitioner,AWS,2020
CAND_0000297,1,Scrum Master Certified,Scrum Alliance,2025
CAND_0000297,2,Six Sigma Green Belt,ASQ,2021
CAND_0000307,1,Scrum Master Certified,Scrum Alliance,2021
CAND_0000307,2,AWS Certified Cloud Practitioner,AWS,2023
CAND_0000308,1,Six Sigma Green Belt,ASQ,2018
CAND_0000308,2,AWS Certified Cloud Practitioner,AWS,2018
CAND_0000317,1,Six Sigma Green Belt,ASQ,2023
CAND_0000322,1,Six Sigma Green Belt,ASQ,2024
CAND_0000329,1,AWS Certified Cloud Practitioner,AWS,2022
CAND_0000338,1,Six Sigma Green Belt,ASQ,2018
CAND_0000338,2,Scrum Master Certified,Scrum Alliance,2021
CAND_0000341,1,Scrum Master Certified,Scrum Alliance,2021
CAND_0000341,2,AWS Certified Cloud Practitioner,AWS,2024
CAND_0000343,1,Scrum Master Certified,Scrum Alliance,2024
CAND_0000343,2,Six Sigma Green Belt,ASQ,2018
CAND_0000344,1,Scrum Master Certified,Scrum Alliance,2025
CAND_0000348,1,Six Sigma Green Belt,ASQ,2018
CAND_0000348,2,AWS Certified Cloud Practitioner,AWS,2024
CAND_0000349,1,Six Sigma Green Belt,ASQ,2022
CAND_0000349,2,Scrum Master Certified,Scrum Alliance,2019
CAND_0000356,1,Scrum Master Certified,Scrum Alliance,2022
CAND_0000356,2,Six Sigma Green Belt,ASQ,2019
CAND_0000359,1,Six Sigma Green Belt,ASQ,2023
CAND_0000360,1,Scrum Master Certified,Scrum Alliance,2025
CAND_0000360,2,AWS Certified Cloud Practitioner,AWS,2019
CAND_0000365,1,Six Sigma Green Belt,ASQ,2020
CAND_0000365,2,Scrum Master Certified,Scrum Alliance,2023
CAND_0000370,1,Scrum Master Certified,Scrum Alliance,2018
CAND_0000373,1,AWS Certified Cloud Practitioner,AWS,2023
CAND_0000377,1,Six Sigma Green Belt,ASQ,2018
CAND_0000377,2,AWS Certified Cloud Practitioner,AWS,2022
CAND_0000386,1,Six Sigma Green Belt,ASQ,2022
CAND_0000386,2,AWS Certified Cloud Practitioner,AWS,2023
CAND_0000395,1,Six Sigma Green Belt,ASQ,2025
CAND_0000395,2,AWS Certified Cloud Practitioner,AWS,2022
CAND_0000396,1,AWS Certified Cloud Practitioner,AWS,2022
CAND_0000396,2,Six Sigma Green Belt,ASQ,2024
CAND_0000403,1,Scrum Master Certified,Scrum Alliance,2024
CAND_0000403,2,AWS Certified Cloud Practitioner,AWS,2023
CAND_0000406,1,Scrum Master Certified,Scrum Alliance,2024
CAND_0000406,2,Six Sigma Green Belt,ASQ,2021
CAND_0000412,1,Six Sigma Green Belt,ASQ,2021
CAND_0000412,2,AWS Certified Cloud Practitioner,AWS,2023
CAND_0000413,1,Six Sigma Green Belt,ASQ,2020
CAND_0000417,1,Six Sigma Green Belt,ASQ,2021
CAND_0000420,1,Six Sigma Green Belt,ASQ,2025
CAND_0000420,2,Scrum Master Certified,Scrum Alliance,2018
CAND_0000422,1,NLP Specialization,Coursera/DeepLearning.AI,2021
CAND_0000422,2,Google Cloud Professional ML Engineer,Google Cloud,2020
CAND_0000423,1,Scrum Master Certified,Scrum Alliance,2022
CAND_0000425,1,Six Sigma Green Belt,ASQ,2021
CAND_0000425,2,Scrum Master Certified,Scrum Alliance,2019
CAND_0000426,1,AWS Certified Cloud Practitioner,AWS,2020
CAND_0000433,1,Six Sigma Green Belt,ASQ,2023
CAND_0000433,2,AWS Certified Cloud Practitioner,AWS,2022
CAND_0000434,1,AWS Certified Cloud Practitioner,AWS,2021
CAND_0000434,2,Six Sigma Green Belt,ASQ,2022
CAND_0000440,1,AWS Certified Cloud Practitioner,AWS,2025
CAND_0000440,2,Scrum Master Certified,Scrum Alliance,2018
CAND_0000443,1,AWS Certified Cloud Practitioner,AWS,2022
CAND_0000443,2,Six Sigma Green Belt,ASQ,2020
CAND_0000444,1,Scrum Master Certified,Scrum Alliance,2019
CAND_0000444,2,Six Sigma Green Belt,ASQ,2018
CAND_0000450,1,AWS Certified Cloud Practitioner,AWS,2021
CAND_0000450,2,Six Sigma Green Belt,ASQ,2025
CAND_0000455,1,Six Sigma Green Belt,ASQ,2024
CAND_0000455,2,Scrum Master Certified,Scrum Alliance,2023
CAND_0000456,1,Scrum Master Certified,Scrum Alliance,2022
CAND_0000460,1,AWS Certified Cloud Practitioner,AWS,2021
CAND_0000462,1,Scrum Master Certified,Scrum Alliance,2022
CAND_0000464,1,Six Sigma Green Belt,ASQ,2018
CAND_0000465,1,Six Sigma Green Belt,ASQ,2018
CAND_0000472,1,Six Sigma Green Belt,ASQ,2020
CAND_0000473,1,Scrum Master Certified,Scrum Alliance,2025
CAND_0000474,1,AWS Certified Cloud Practitioner,AWS,2024
CAND_0000475,1,AWS Certified Cloud Practitioner,AWS,2023
CAND_0000475,2,Six Sigma Green Belt,ASQ,2025
CAND_0000481,1,Scrum Master Certified,Scrum Alliance,2025
CAND_0000481,2,AWS Certified Cloud Practitioner,AWS,2023
CAND_0000483,1,Scrum Master Certified,Scrum Alliance,2022
CAND_0000483,2,AWS Certified Cloud Practitioner,AWS,2020
CAND_0000487,1,Scrum Master Certified,Scrum Alliance,2023
CAND_0000487,2,AWS Certified Cloud Practitioner,AWS,2020
CAND_0000491,1,Scrum Master Certified,Scrum Alliance,2018
CAND_0000491,2,Six Sigma Green Belt,ASQ,2020
CAND_0000498,1,AWS Certified Cloud Practitioner,AWS,2025
CAND_0000500,1,Six Sigma Green Belt,ASQ,2025
CAND_0000500,2,Scrum Master Certified,Scrum Alliance,2018
CAND_0000504,1,AWS Certified Cloud Practitioner,AWS,2024
CAND_0000506,1,AWS Certified Cloud Practitioner,AWS,2019
CAND_0000506,2,Scrum Master Certified,Scrum Alliance,2019
CAND_0000507,1,Scrum Master Certified,Scrum Alliance,2021
CAND_0000509,1,Six Sigma Green Belt,ASQ,2021
CAND_0000509,2,Scrum Master Certified,Scrum Alliance,2020
CAND_0000511,1,Scrum Master Certified,Scrum Alliance,2025
CAND_0000513,1,Scrum Master Certified,Scrum Alliance,2023
CAND_0000513,2,AWS Certified Cloud Practitioner,AWS,2021
CAND_0000520,1,Scrum Master Certified,Scrum Alliance,2019
CAND_0000520,2,Six Sigma Green Belt,ASQ,2022
CAND_0000522,1,Six Sigma Green Belt,ASQ,2025
CAND_0000522,2,Scrum Master Certified,Scrum Alliance,2022
CAND_0000524,1,Six Sigma Green Belt,ASQ,2018
CAND_0000524,2,AWS Certified Cloud Practitioner,AWS,2020
CAND_0000529,1,Six Sigma Green Belt,ASQ,2019
CAND_0000531,1,AWS Certified Cloud Practitioner,AWS,2019
CAND_0000539,1,Scrum Master Certified,Scrum Alliance,2019
CAND_0000540,1,AWS Certified Cloud Practitioner,AWS,2025
CAND_0000541,1,Scrum Master Certified,Scrum Alliance,2023
CAND_0000541,2,Six Sigma Green Belt,ASQ,2018
CAND_0000547,1,Scrum Master Certified,Scrum Alliance,2021
CAND_0000547,2,Six Sigma Green Belt,ASQ,2018
CAND_0000555,1,Six Sigma Green Belt,ASQ,2019
CAND_0000555,2,AWS Certified Cloud Practitioner,AWS,2022
CAND_0000560,1,Six Sigma Green Belt,ASQ,2021
CAND_0000560,2,Scrum Master Certified,Scrum Alliance,2022
CAND_0000561,1,AWS Certified Cloud Practitioner,AWS,2018
CAND_0000564,1,Six Sigma Green Belt,ASQ,2020
CAND_0000570,1,Scrum Master Certified,Scrum Alliance,2021
CAND_0000573,1,AWS Certified Cloud Practitioner,AWS,2019
CAND_0000576,1,AWS Certified Cloud Practitioner,AWS,2020
CAND_0000576,2,Scrum Master Certified,Scrum Alliance,2022
CAND_0000577,1,Six Sigma Green Belt,ASQ,2025
CAND_0000577,2,AWS Certified Cloud Practitioner,AWS,2018
CAND_0000579,1,Scrum Master Certified,Scrum Alliance,2018
CAND_0000580,1,Scrum Master Certified,Scrum Alliance,2019
CAND_0000581,1,Scrum Master Certified,Scrum Alliance,2025
CAND_0000582,1,Scrum Master Certified,Scrum Alliance,2019
CAND_0000583,1,Six Sigma Green Belt,ASQ,2025
CAND_0000586,1,Scrum Master Certified,Scrum Alliance,2019
CAND_0000587,1,Six Sigma Green Belt,ASQ,2025
CAND_0000587,2,Scrum Master Certified,Scrum Alliance,2024
CAND_0000589,1,AWS Certified Cloud Practitioner,AWS,2020
CAND_0000596,1,AWS Certified Cloud Practitioner,AWS,2020
CAND_0000596,2,Scrum Master Certified,Scrum Alliance,2023
CAND_0000598,1,Scrum Master Certified,Scrum Alliance,2019
CAND_0000598,2,AWS Certified Cloud Practitioner,AWS,2020
CAND_0000599,1,Six Sigma Green Belt,ASQ,2021
CAND_0000599,2,Scrum Master Certified,Scrum Alliance,2025
CAND_0000602,1,Scrum Master Certified,Scrum Alliance,2020
CAND_0000602,2,AWS Certified Cloud Practitioner,AWS,2021
CAND_0000603,1,Six Sigma Green Belt,ASQ,2018
CAND_0000603,2,AWS Certified Cloud Practitioner,AWS,2019
CAND_0000607,1,Six Sigma Green Belt,ASQ,2024
CAND_0000607,2,AWS Certified Cloud Practitioner,AWS,2019
CAND_0000612,1,Scrum Master Certified,Scrum Alliance,2025
CAND_0000615,1,Scrum Master Certified,Scrum Alliance,2025
CAND_0000616,1,Scrum Master Certified,Scrum Alliance,2020
CAND_0000621,1,AWS Certified Cloud Practitioner,AWS,2021
CAND_0000622,1,Scrum Master Certified,Scrum Alliance,2019
CAND_0000625,1,AWS Certified Cloud Practitioner,AWS,2024
CAND_0000625,2,Six Sigma Green Belt,ASQ,2018
CAND_0000633,1,AWS Certified Cloud Practitioner,AWS,2025
CAND_0000633,2,Six Sigma Green Belt,ASQ,2019
CAND_0000634,1,Six Sigma Green Belt,ASQ,2024
CAND_0000637,1,Six Sigma Green Belt,ASQ,2023
CAND_0000639,1,Scrum Master Certified,Scrum Alliance,2023
CAND_0000640,1,Six Sigma Green Belt,ASQ,2025
CAND_0000640,2,Scrum Master Certified,Scrum Alliance,2019
CAND_0000641,1,Six Sigma Green Belt,ASQ,2019
CAND_0000641,2,AWS Certified Cloud Practitioner,AWS,2018
CAND_0000645,1,Scrum Master Certified,Scrum Alliance,2023
CAND_0000645,2,Six Sigma Green Belt,ASQ,2021
CAND_0000646,1,AWS Certified Cloud Practitioner,AWS,2020
CAND_0000646,2,Six Sigma Green Belt,ASQ,2024
CAND_0000648,1,Six Sigma Green Belt,ASQ,2021
CAND_0000648,2,AWS Certified Cloud Practitioner,AWS,2018
CAND_0000651,1,Six Sigma Green Belt,ASQ,2023
CAND_0000651,2,Scrum Master Certified,Scrum Alliance,2020
CAND_0000652,1,Six Sigma Green Belt,ASQ,2024
CAND_0000656,1,Six Sigma Green Belt,ASQ,2019
CAND_0000656,2,Scrum Master Certified,Scrum Alliance,2019
CAND_0000658,1,Scrum Master Certified,Scrum Alliance,2025
CAND_0000660,1,Scrum Master Certified,Scrum Alliance,2019
CAND_0000661,1,Six Sigma Green Belt,ASQ,2021
CAND_0000665,1,Six Sigma Green Belt,ASQ,2019
CAND_0000668,1,Six Sigma Green Belt,ASQ,2019
CAND_0000668,2,Scrum Master Certified,Scrum Alliance,2018
CAND_0000672,1,Scrum Master Certified,Scrum Alliance,2020
CAND_0000672,2,Six Sigma Green Belt,ASQ,2024
CAND_0000677,1,AWS Certified Cloud Practitioner,AWS,2025
CAND_0000677,2,Scrum Master Certified,Scrum Alliance,2023
CAND_0000679,1,Scrum Master Certified,Scrum Alliance,2024
CAND_0000686,1,Six Sigma Green Belt,ASQ,2025
CAND_0000687,1,AWS Certified Cloud Practitioner,AWS,2018
CAND_0000687,2,Six Sigma Green Belt,ASQ,2020
CAND_0000690,1,AWS Certified Cloud Practitioner,AWS,2019
CAND_0000690,2,Scrum Master Certified,Scrum Alliance,2025
CAND_0000692,1,Scrum Master Certified,Scrum Alliance,2022
CAND_0000692,2,AWS Certified Cloud Practitioner,AWS,2022
CAND_0000701,1,Six Sigma Green Belt,ASQ,2025
CAND_0000701,2,Scrum Master Certified,Scrum Alliance,2019
CAND_0000708,1,AWS Certified Cloud Practitioner,AWS,2025
CAND_0000708,2,Scrum Master Certified,Scrum Alliance,2023
CAND_0000712,1,Six Sigma Green Belt,ASQ,2019
CAND_0000718,1,AWS Certified Cloud Practitioner,AWS,2021
CAND_0000721,1,Scrum Master Certified,Scrum Alliance,2018
CAND_0000722,1,AWS Certified Cloud Practitioner,AWS,2023
CAND_0000722,2,Six Sigma Green Belt,ASQ,2020
CAND_0000726,1,Six Sigma Green Belt,ASQ,2019
CAND_0000726,2,AWS Certified Cloud Practitioner,AWS,2018
CAND_0000727,1,Scrum Master Certified,Scrum Alliance,2025
CAND_0000730,1,AWS Certified Cloud Practitioner,AWS,2020
CAND_0000730,2,Scrum Master Certified,Scrum Alliance,2025
CAND_0000732,1,Scrum Master Certified,Scrum Alliance,2022
CAND_0000737,1,AWS Certified Cloud Practitioner,AWS,2018
CAND_0000741,1,Six Sigma Green Belt,ASQ,2020
CAND_0000746,1,AWS Certified Cloud Practitioner,AWS,2021
CAND_0000746,2,Six Sigma Green Belt,ASQ,2025
CAND_0000750,1,AWS Certified Cloud Practitioner,AWS,2021
CAND_0000759,1,Scrum Master Certified,Scrum Alliance,2018
CAND_0000759,2,AWS Certified Cloud Practitioner,AWS,2023
CAND_0000761,1,Six Sigma Green Belt,ASQ,2024
CAND_0000764,1,Six Sigma Green Belt,ASQ,2021
CAND_0000767,1,AWS Certified Cloud Practitioner,AWS,2024
CAND_0000767,2,Scrum Master Certified,Scrum Alliance,2024
CAND_0000770,1,Six Sigma Green Belt,ASQ,2020
CAND_0000770,2,Scrum Master Certified,Scrum Alliance,2019
CAND_0000784,1,Six Sigma Green Belt,ASQ,2018
CAND_0000786,1,AWS Certified Cloud Practitioner,AWS,2021
CAND_0000795,1,AWS Certified Cloud Practitioner,AWS,2023
CAND_0000798,1,Six Sigma Green Belt,ASQ,2019
CAND_0000798,2,Scrum Master Certified,Scrum Alliance,2025
CAND_0000800,1,Six Sigma Green Belt,ASQ,2019
CAND_0000806,1,AWS Certified Cloud Practitioner,AWS,2024
CAND_0000808,1,Scrum Master Certified,Scrum Alliance,2020
CAND_0000811,1,AWS Certified Cloud Practitioner,AWS,2023
CAND_0000811,2,Six Sigma Green Belt,ASQ,2023
CAND_0000818,1,Six Sigma Green Belt,ASQ,2023
CAND_0000818,2,AWS Certified Cloud Practitioner,AWS,2022
CAND_0000821,1,Scrum Master Certified,Scrum Alliance,2024
CAND_0000821,2,Six Sigma Green Belt,ASQ,2020
CAND_0000822,1,AWS Certified Cloud Practitioner,AWS,2023
CAND_0000822,2,Scrum Master Certified,Scrum Alliance,2023
CAND_0000823,1,AWS Certified Cloud Practitioner,AWS,2024
CAND_0000826,1,Scrum Master Certified,Scrum Alliance,2018
CAND_0000826,2,Six Sigma Green Belt,ASQ,2024
CAND_0000833,1,AWS Certified Cloud Practitioner,AWS,2018
CAND_0000835,1,Six Sigma Green Belt,ASQ,2018
CAND_0000835,2,AWS Certified Cloud Practitioner,AWS,2020
CAND_0000841,1,Six Sigma Green Belt,ASQ,2018
CAND_0000843,1,Six Sigma Green Belt,ASQ,2019
CAND_0000854,1,Scrum Master Certified,Scrum Alliance,2019
CAND_0000854,2,AWS Certified Cloud Practitioner,AWS,2021
CAND_0000856,1,Six Sigma Green Belt,ASQ,2023
CAND_0000856,2,Scrum Master Certified,Scrum Alliance,2019
CAND_0000862,1,Six Sigma Green Belt,ASQ,2019
CAND_0000871,1,Scrum Master Certified,Scrum Alliance,2022
CAND_0000874,1,AWS Certified Cloud Practitioner,AWS,2019
CAND_0000875,1,Scrum Master Certified,Scrum Alliance,2022
CAND_0000880,1,AWS Certified Cloud Practitioner,AWS,2023
CAND_0000880,2,Scrum Master Certified,Scrum Alliance,2025
CAND_0000885,1,Six Sigma Green Belt,ASQ,2025
CAND_0000890,1,Scrum Master Certified,Scrum Alliance,2018
CAND_0000890,2,Six Sigma Green Belt,ASQ,2022
CAND_0000895,1,Six Sigma Green Belt,ASQ,2019
CAND_0000895,2,Scrum Master Certified,Scrum Alliance,2021
CAND_0000898,1,Scrum Master Certified,Scrum Alliance,2024
CAND_0000898,2,AWS Certified Cloud Practitioner,AWS,2018
CAND_0000900,1,Six Sigma Green Belt,ASQ,2018
CAND_0000900,2,Scrum Master Certified,Scrum Alliance,2021
CAND_0000901,1,Scrum Master Certified,Scrum Alliance,2024
CAND_0000906,1,Six Sigma Green Belt,ASQ,2025
CAND_0000906,2,Scrum Master Certified,Scrum Alliance,2021
CAND_0000910,1,Scrum Master Certified,Scrum Alliance,2022
CAND_0000913,1,Scrum Master Certified,Scrum Alliance,2020
CAND_0000913,2,AWS Certified Cloud Practitioner,AWS,2020
CAND_0000928,1,Scrum Master Certified,Scrum Alliance,2019
CAND_0000928,2,Six Sigma Green Belt,ASQ,2019
CAND_0000936,1,AWS Certified Cloud Practitioner,AWS,2019
CAND_0000944,1,Scrum Master Certified,Scrum Alliance,2025
CAND_0000944,2,AWS Certified Cloud Practitioner,AWS,2025
CAND_0000945,1,Scrum Master Certified,Scrum Alliance,2018
CAND_0000950,1,Six Sigma Green Belt,ASQ,2020
CAND_0000950,2,AWS Certified Cloud Practitioner,AWS,2022
CAND_0000955,1,Six Sigma Green Belt,ASQ,2022
CAND_0000955,2,Scrum Master Certified,Scrum Alliance,2021
CAND_0000956,1,AWS Certified Cloud Practitioner,AWS,2021
CAND_0000959,1,AWS Certified Cloud Practitioner,AWS,2018
CAND_0000960,1,AWS Certified Cloud Practitioner,AWS,2025
CAND_0000964,1,Scrum Master Certified,Scrum Alliance,2024
CAND_0000966,1,Six Sigma Green Belt,ASQ,2020
CAND_0000966,2,Scrum Master Certified,Scrum Alliance,2024
CAND_0000968,1,Six Sigma Green Belt,ASQ,2022
CAND_0000968,2,Scrum Master Certified,Scrum Alliance,2019
CAND_0000972,1,AWS Certified Cloud Practitioner,AWS,2025
CAND_0000972,2,Six Sigma Green Belt,ASQ,2020
CAND_0000989,1,Six Sigma Green Belt,ASQ,2022
CAND_0000991,1,AWS Certified Cloud Practitioner,AWS,2019
CAND_0000991,2,Scrum Master Certified,Scrum Alliance,2024
CAND_0000994,1,AWS Certified Cloud Practitioner,AWS,2018
CAND_0000994,2,Scrum Master Certified,Scrum Alliance,2019
CAND_0000998,1,AWS Certified Cloud Practitioner,AWS,2020
CAND_0000998,2,Six Sigma Green Belt,ASQ,2022
CAND_0001002,1,AWS Certified Cloud Practitioner,AWS,2023
CAND_0001002,2,Six Sigma Green Belt,ASQ,2019
CAND_0001005,1,Six Sigma Green Belt,ASQ,2020
CAND_0001008,1,Six Sigma Green Belt,ASQ,2022
CAND_0001012,1,Six Sigma Green Belt,ASQ,2021
CAND_0001034,1,AWS Certified Cloud Practitioner,AWS,2019
CAND_0001038,1,Six Sigma Green Belt,ASQ,2024
CAND_0001041,1,Six Sigma Green Belt,ASQ,2020
CAND_0001041,2,AWS Certified Cloud Practitioner,AWS,2019
CAND_0001044,1,AWS Certified Cloud Practitioner,AWS,2019
CAND_0001044,2,Six Sigma Green Belt,ASQ,2019
CAND_0001046,1,Six Sigma Green Belt,ASQ,2023
CAND_0001050,1,Six Sigma Green Belt,ASQ,2024
CAND_0001054,1,Scrum Master Certified,Scrum Alliance,2020
CAND_0001054,2,AWS Certified Cloud Practitioner,AWS,2018
CAND_0001062,1,Six Sigma Green Belt,ASQ,2021
CAND_0001062,2,AWS Certified Cloud Practitioner,AWS,2023
CAND_0001065,1,AWS Certified Cloud Practitioner,AWS,2018
CAND_0001065,2,Six Sigma Green Belt,ASQ,2022
CAND_0001066,1,Scrum Master Certified,Scrum Alliance,2019
CAND_0001066,2,Six Sigma Green Belt,ASQ,2024
CAND_0001067,1,Six Sigma Green Belt,ASQ,2020
CAND_0001067,2,Scrum Master Certified,Scrum Alliance,2021
CAND_0001069,1,AWS Certified Cloud Practitioner,AWS,2022
CAND_0001069,2,Scrum Master Certified,Scrum Alliance,2019
CAND_0001079,1,AWS Certified Cloud Practitioner,AWS,2022
CAND_0001079,2,Scrum Master Certified,Scrum Alliance,2021
CAND_0001083,1,Scrum Master Certified,Scrum Alliance,2025
CAND_0001083,2,Six Sigma Green Belt,ASQ,2023
CAND_0001092,1,Six Sigma Green Belt,ASQ,2019
CAND_0001092,2,AWS Certified Cloud Practitioner,AWS,2018
CAND_0001098,1,AWS Certified Cloud Practitioner,AWS,2024
CAND_0001106,1,Six Sigma Green Belt,ASQ,2024
CAND_0001106,2,Scrum Master Certified,Scrum Alliance,2021
CAND_0001107,1,Scrum Master Certified,Scrum Alliance,2021
CAND_0001107,2,Six Sigma Green Belt,ASQ,2021
